city,region,federal_district,population
Баку,Азербайджанская Республика,,
Ереван,Республика Армения,,
Астана,Республика Казахстан,,
Бишкек,Кыргызская Республика,,
Кишинёв,Республика Молдова,,
Душанбе,Республика Таджикистан,,
Ашхабад,Туркменистан,,
Ташкент,Республика Узбекистан,,
Минск,Республика Беларусь,,1938280
Гомель,Республика Беларусь,,516976
Могилёв,Республика Беларусь,,374655
Витебск,Республика Беларусь,,366299
Гродно,Республика Беларусь,,361352
Брест,Республика Беларусь,,335645
Москва,Москва,Центральный,13010112
Зеленоград,Москва,Центральный,256775
Балашиха,Московская область,Центральный,520962
Подольск,Московская область,Центральный,314934
Химки,Московская область,Центральный,257128
Воронеж,Воронежская область,Центральный,1057681
Ярославль,Ярославская область,Центральный,577279
Рязань,Рязанская область,Центральный,528599
Липецк,Липецкая область,Центральный,496403
Тула,Тульская область,Центральный,473622
Курск,Курская область,Центральный,440052
Тверь,Тверская область,Центральный,416219
Брянск,Брянская область,Центральный,379152
Владимир,Владимирская область,Центральный,349951
Белгород,Белгородская область,Центральный,339978
Казань,Татарстан,Приволжский,1308660
Нижний Новгород,Нижегородская область,Приволжский,1226076
Самара,Самарская область,Приволжский,1173299
Уфа,Башкортостан,Приволжский,1144809
Пермь,Пермский край,Приволжский,1034002
Саратов,Саратовская область,Приволжский,901361
Ижевск,Удмуртия,Приволжский,623472
Ульяновск,Ульяновская область,Приволжский,617352
Оренбург,Оренбургская область,Приволжский,543654
Пенза,Пензенская область,Приволжский,501109
Чебоксары,Чувашия,Приволжский,497807
Новосибирск,Новосибирская область,Сибирский,1633595
Красноярск,Красноярский край,Сибирский,1187771
Омск,Омская область,Сибирский,1125695
Томск,Томская область,Сибирский,556478
Барнаул,Алтайский край,Сибирский,630877
Иркутск,Иркутская область,Сибирский,617264
Кемерово,Кемеровская область,Сибирский,557119
Чита,Забайкальский край,Сибирский,334427
Абакан,Хакасия,Сибирский,184769
Кызыл,Тыва,Сибирский,125241
Санкт-Петербург,Санкт-Петербург,Северо-Западный,5601911
Калининград,Калининградская область,Северо-Западный,490449
Вологда,Вологодская область,Северо-Западный,313944
Архангельск,Архангельская область,Северо-Западный,301199
Мурманск,Мурманская область,Северо-Западный,270384
Петрозаводск,Карелия,Северо-Западный,234897
Псков,Псковская область,Северо-Западный,193082
Ростов-на-Дону,Ростовская область,Южный,1142162
Краснодар,Краснодарский край,Южный,1099344
Волгоград,Волгоградская область,Южный,1028036
Севастополь,Севастополь,Южный,547820
Астрахань,Астраханская область,Южный,475629
Симферополь,Крым,Южный,340540
Махачкала,Дагестан,Северо-Кавказский,623254
Ставрополь,Ставропольский край,Северо-Кавказский,547443
Грозный,Чечня,Северо-Кавказский,328533
Владикавказ,Северная Осетия,Северо-Кавказский,295830
Нальчик,Кабардино-Балкария,Северо-Кавказский,247054
Назрань,Ингушетия,Северо-Кавказский,122350
Черкесск,Карачаево-Черкесия,Северо-Кавказский,113226
Екатеринбург,Свердловская область,Уральский,1544376
Челябинск,Челябинская область,Уральский,1189525
Тюмень,Тюменская область,Уральский,847488
Сургут,Ханты-Мансийский АО,Уральский,396443
Курган,Курганская область,Уральский,310911
Ханты-Мансийск,Ханты-Мансийский АО — Югра,Уральский,107473
Новый Уренгой,Ямало-Ненецкий АО,Уральский,107251
Хабаровск,Хабаровский край,Дальневосточный,617441
Владивосток,Приморский край,Дальневосточный,603519
Якутск,Якутия,Дальневосточный,355443
Благовещенск,Амурская область,Дальневосточный,241437
Южно-Сахалинск,Сахалинская область,Дальневосточный,181587
Петропавловск-Камчатский,Камчатский край,Дальневосточный,164900
Магадан,Магаданская область,Дальневосточный,90757
Биробиджан,Еврейская АО,Дальневосточный,70064
Анадырь,Чукотский АО,Дальневосточный,13202
